Year,Week,85291,83085,83084,83024
2014.0,1.0,555.0,3483.0,2790.0,8296.0
2014.0,2.0,804.0,1253.0,1425.0,1987.0
2014.0,3.0,993.0,2992.0,2101.0,2413.0
2014.0,4.0,2976.0,9680.0,9544.0,18831.0
2014.0,5.0,11112.0,29628.0,26211.0,49217.0
2014.0,6.0,13381.0,36665.0,33392.0,59693.0
2014.0,7.0,8832.0,26465.0,28149.0,45788.0
2014.0,8.0,9347.0,21679.0,24565.0,41720.0
2014.0,9.0,10071.0,31019.0,28981.0,48984.0
2014.0,10.0,11071.0,30360.0,33125.0,47315.0
2014.0,11.0,10079.0,35923.0,36486.0,43314.0
2014.0,12.0,7635.0,32657.0,34468.0,41063.0
2014.0,13.0,4681.0,28855.0,30104.0,41063.0
2014.0,14.0,1904.0,18708.0,23864.0,26222.0
2014.0,15.0,0.0,11117.0,15869.0,11881.0
2015.0,1.0,3185.0,4997.0,4799.0,15612.0
2015.0,2.0,2058.0,1797.0,3293.0,6592.0
2015.0,3.0,1745.0,3605.0,5965.0,6648.0
2015.0,4.0,2751.0,13197.0,11758.0,18766.0
2015.0,5.0,6748.0,22318.0,20779.0,38879.0
2015.0,6.0,8269.0,27894.0,24064.0,45629.0
2015.0,7.0,8219.0,22620.0,27566.0,38873.0
2015.0,8.0,8600.0,17562.0,25955.0,36714.0
2015.0,9.0,8932.0,27850.0,31872.0,38171.0
2015.0,10.0,10429.0,31159.0,35417.0,41782.0
2015.0,11.0,10927.0,35122.0,37063.0,44060.0
2015.0,12.0,9027.0,30754.0,36903.0,38823.0
2015.0,13.0,6236.0,25367.0,33126.0,38042.0
2015.0,14.0,4387.0,30754.0,28099.0,23919.0
2015.0,15.0,2247.0,12005.0,18548.0,21892.0
2016.0,1.0,1154.0,4590.0,3840.0,8368.0
2016.0,2.0,1298.0,1860.0,2176.0,5298.0
2016.0,3.0,2306.0,8368.0,10297.0,17606.0
2016.0,4.0,8796.0,17433.0,23077.0,37586.0
2016.0,5.0,7976.0,21302.0,33309.0,56664.0
2016.0,6.0,6614.0,25173.0,38818.0,44445.0
2016.0,7.0,5267.0,20774.0,30873.0,37928.0
2016.0,8.0,6394.0,19557.0,36692.0,39125.0
2016.0,9.0,6676.0,27232.0,40090.0,46055.0
2016.0,10.0,5593.0,28044.0,43213.0,44706.0
2016.0,11.0,3979.0,31774.0,43213.0,38065.0
2016.0,12.0,3909.0,28211.0,43275.0,34449.0
2016.0,13.0,1373.0,20295.0,33724.0,21929.0
2016.0,14.0,0.0,14224.0,24144.0,13075.0
2016.0,15.0,0.0,10134.0,19696.0,7411.0
2017.0,1.0,3569.0,6288.0,5663.0,18142.0
2017.0,2.0,798.0,2644.0,3577.0,9023.0
2017.0,3.0,846.0,5756.0,7935.0,13836.0
2017.0,4.0,3486.0,17281.0,16182.0,26972.0
2017.0,5.0,5981.0,29573.0,30745.0,50070.0
2017.0,6.0,9132.0,33467.0,38180.0,57787.0
2017.0,7.0,7286.0,23812.0,30541.0,40050.0
2017.0,8.0,5799.0,25596.0,29332.0,37535.0
2017.0,9.0,5331.0,29214.0,34784.0,39778.0
2017.0,10.0,6311.0,33652.0,39838.0,48862.0
2017.0,11.0,5884.0,35159.0,41643.0,45833.0
2017.0,12.0,4921.0,32732.0,38487.0,44047.0
2017.0,13.0,4086.0,26326.0,34745.0,32214.0
2017.0,14.0,5565.0,21960.0,28865.0,32542.0
2017.0,15.0,3409.0,14990.0,21846.0,24402.0
2018.0,1.0,2753.0,6271.0,4735.0,13279.0
2018.0,2.0,2102.0,3489.0,3408.0,11039.0
2018.0,3.0,5768.0,6911.0,8450.0,19293.0
2018.0,4.0,7058.0,17524.0,16200.0,27761.0
2018.0,5.0,11141.0,31435.0,32502.0,54337.0
2018.0,6.0,18031.0,37737.0,40750.0,66326.0
2018.0,7.0,8803.0,25157.0,31768.0,46230.0
2018.0,8.0,7966.0,24150.0,29814.0,39057.0
2018.0,9.0,8950.0,30515.0,33734.0,45601.0
2018.0,10.0,7621.0,33527.0,41774.0,43886.0
2018.0,11.0,6837.0,38115.0,40149.0,46782.0
2018.0,12.0,10011.0,35284.0,38075.0,46140.0
2018.0,13.0,6751.0,28187.0,32603.0,34877.0
2018.0,14.0,5793.0,21947.0,28410.0,31144.0
2018.0,15.0,4064.0,15320.0,19085.0,20104.0
2019.0,1.0,6393.0,5948.0,8702.0,22375.0
2019.0,2.0,4311.0,3019.0,4257.0,10904.0
2019.0,3.0,5341.0,5820.0,7581.0,13018.0
2019.0,4.0,6645.0,13150.0,14826.0,29400.0
2019.0,5.0,10595.0,26572.0,31088.0,46986.0
2019.0,6.0,9056.0,36382.0,37988.0,49957.0
2019.0,7.0,9515.0,23978.0,33409.0,42583.0
2019.0,8.0,10134.0,24998.0,31157.0,41415.0
2019.0,9.0,10039.0,31360.0,34471.0,40425.0
2019.0,10.0,4004.0,29531.0,39514.0,41156.0
2019.0,11.0,12128.0,39955.0,40569.0,48415.0
2019.0,12.0,10255.0,37905.0,38230.0,44315.0
2019.0,13.0,8502.0,33186.0,35090.0,34454.0
2019.0,14.0,6878.0,27192.0,30655.0,30775.0
2019.0,15.0,6089.0,20169.0,22832.0,22540.0
2020.0,1.0,1074.0,2016.0,2905.0,2665.0
2020.0,2.0,544.0,1346.0,1931.0,2843.0
2020.0,3.0,603.0,1416.0,1672.0,3537.0
2020.0,4.0,2168.0,4172.0,4208.0,9988.0
2020.0,5.0,4055.0,9325.0,7199.0,3537.0
2020.0,6.0,2945.0,15316.0,8741.0,15619.0
2020.0,7.0,1149.0,8953.0,6964.0,6805.0
2020.0,8.0,941.0,4401.0,3407.0,7366.0
