mount_id,year,week,date,max_temp,min_temp,rain
71032,2026,1,2025-12-29,16.23,5.743,3.027
71032,2026,2,2026-01-05,16.017,7.138,6.761
71032,2026,3,2026-01-12,15.913,6.598,3.623
71032,2026,4,2026-01-19,16.14,7.335,4.652
71032,2026,5,2026-01-26,15.962,6.567,1.835
71032,2026,6,2026-02-02,16.321,6.893,0.936
71032,2026,7,2026-02-09,16.393,6.831,1.728
71032,2026,8,2026-02-16,16.241,6.858,2.233
71032,2026,9,2026-02-23,16.116,6.876,1.541
71032,2026,10,2026-03-02,15.135,6.118,1.449
71032,2026,11,2026-03-09,14.017,5.192,1.44
71032,2026,12,2026-03-16,13.326,4.758,2.701
71032,2026,13,2026-03-23,12.886,3.799,2.691
71032,2026,14,2026-03-30,11.22,3.382,2.855
71032,2026,15,2026-04-06,10.523,2.107,4.416
71075,2026,1,2025-12-29,19.125,4.801,5.199
71075,2026,2,2026-01-05,17.826,5.817,6.209
71075,2026,3,2026-01-12,18.0,6.318,3.576
71075,2026,4,2026-01-19,17.754,5.599,4.492
71075,2026,5,2026-01-26,19.304,6.073,2.289
71075,2026,6,2026-02-02,18.675,5.152,1.57
71075,2026,7,2026-02-09,19.217,6.447,1.068
71075,2026,8,2026-02-16,18.576,5.22,1.394
71075,2026,9,2026-02-23,18.379,6.835,2.403
71075,2026,10,2026-03-02,16.61,5.085,2.267
71075,2026,11,2026-03-09,17.068,6.163,1.509
71075,2026,12,2026-03-16,15.055,5.191,4.963
71075,2026,13,2026-03-23,12.852,3.843,2.835
71075,2026,14,2026-03-30,12.441,2.793,4.541
71075,2026,15,2026-04-06,11.388,1.661,4.999
72161,2026,1,2025-12-29,19.439,9.259,2.876
72161,2026,2,2026-01-05,20.22,11.07,4.141
72161,2026,3,2026-01-12,20.692,11.04,3.061
72161,2026,4,2026-01-19,20.272,11.195,3.527
72161,2026,5,2026-01-26,20.452,11.387,2.232
72161,2026,6,2026-02-02,21.046,11.146,1.31
72161,2026,7,2026-02-09,21.274,11.34,0.949
72161,2026,8,2026-02-16,21.259,11.078,1.736
72161,2026,9,2026-02-23,20.971,11.314,1.355
72161,2026,10,2026-03-02,19.969,10.288,1.521
72161,2026,11,2026-03-09,19.18,10.436,2.516
72161,2026,12,2026-03-16,17.169,9.716,2.536
72161,2026,13,2026-03-23,15.799,8.752,1.697
72161,2026,14,2026-03-30,14.051,7.578,1.397
72161,2026,15,2026-04-06,12.91,5.888,1.949
83024,2026,1,2025-12-29,17.156,8.808,2.365
83024,2026,2,2026-01-05,18.134,9.054,4.994
83024,2026,3,2026-01-12,16.941,8.482,4.897
83024,2026,4,2026-01-19,16.749,8.237,3.489
83024,2026,5,2026-01-26,17.528,8.064,1.74
83024,2026,6,2026-02-02,17.92,9.602,0.614
83024,2026,7,2026-02-09,17.642,9.115,1.308
83024,2026,8,2026-02-16,17.584,9.22,3.078
83024,2026,9,2026-02-23,17.61,8.958,1.209
83024,2026,10,2026-03-02,16.798,8.575,1.912
83024,2026,11,2026-03-09,16.319,7.802,1.581
83024,2026,12,2026-03-16,13.737,7.113,1.522
83024,2026,13,2026-03-23,12.17,4.922,1.397
83024,2026,14,2026-03-30,11.689,5.313,2.178
83024,2026,15,2026-04-06,10.847,4.831,2.689
83084,2026,1,2025-12-29,17.389,6.285,2.391
83084,2026,2,2026-01-05,17.93,7.847,4.981
83084,2026,3,2026-01-12,17.362,7.57,4.769
83084,2026,4,2026-01-19,17.439,7.664,2.622
83084,2026,5,2026-01-26,17.183,7.74,4.569
83084,2026,6,2026-02-02,17.692,7.693,2.78
83084,2026,7,2026-02-09,17.8,7.949,2.987
83084,2026,8,2026-02-16,17.622,7.644,2.385
83084,2026,9,2026-02-23,17.59,7.732,3.081
83084,2026,10,2026-03-02,16.854,7.22,3.31
83084,2026,11,2026-03-09,15.539,6.542,2.26
83084,2026,12,2026-03-16,13.199,5.922,3.699
83084,2026,13,2026-03-23,12.499,5.304,3.467
83084,2026,14,2026-03-30,11.584,5.512,2.722
83084,2026,15,2026-04-06,10.801,4.623,2.642
83085,2026,1,2025-12-29,14.383,4.465,3.543
83085,2026,2,2026-01-05,15.906,6.508,4.79
83085,2026,3,2026-01-12,15.901,7.21,3.692
83085,2026,4,2026-01-19,14.892,7.642,5.584
83085,2026,5,2026-01-26,15.383,6.686,5.168
83085,2026,6,2026-02-02,15.016,7.299,3.707
83085,2026,7,2026-02-09,15.14,7.602,3.388
83085,2026,8,2026-02-16,15.172,7.524,3.182
83085,2026,9,2026-02-23,14.675,7.73,3.189
83085,2026,10,2026-03-02,14.508,6.429,3.555
83085,2026,11,2026-03-09,14.646,6.109,3.638
83085,2026,12,2026-03-16,11.96,5.289,5.165
83085,2026,13,2026-03-23,10.984,4.179,5.015
83085,2026,14,2026-03-30,10.849,4.521,4.103
83085,2026,15,2026-04-06,10.041,4.422,4.066
85291,2026,1,2025-12-29,16.727,8.181,5.324
85291,2026,2,2026-01-05,16.997,7.948,4.535
85291,2026,3,2026-01-12,16.973,8.39,3.268
85291,2026,4,2026-01-19,15.965,7.111,3.977
85291,2026,5,2026-01-26,15.917,6.771,2.534
85291,2026,6,2026-02-02,16.502,7.565,2.188
85291,2026,7,2026-02-09,16.696,7.088,2.145
85291,2026,8,2026-02-16,16.795,7.447,2.369
85291,2026,9,2026-02-23,16.025,6.837,3.021
85291,2026,10,2026-03-02,14.61,6.336,2.787
85291,2026,11,2026-03-09,14.788,6.631,2.459
85291,2026,12,2026-03-16,13.549,6.863,2.246
85291,2026,13,2026-03-23,12.206,5.853,3.367
85291,2026,14,2026-03-30,12.396,5.898,3.303
85291,2026,15,2026-04-06,11.234,4.675,4.835
